paperid,studyid,reportid,title,keywords,number_of_total_participants,number_of_total_male,number_of_total_female,from_age,to_age,mean_age,sd_age,type_of_visual_display,type_of_audio,type_of_applications,specific_terms,ipq_in_language,is_ipq_used_right,paper_note,total_duration,number_of_user_studies,study_name,duration_of_stay,number_of_study_participants,number_of_study_male,number_of_study_female,from_age_study,to_age_study,mean_age_study,sd_age_study,experiment_design,how_score_is_reported,report_style,report_form,when_the_questionnaire_is_filled,is_score_reported_for_each_time,analysis_techniques,posthoc_tests,finding,number_of_conditions,score_scale,condition_name,element_name,is_interaction,participant_per_element,totalSP,totalINV,totalREAL,totalGP,totalTOTAL,meanSP,meanINV,meanREAL,meanGP,meanTOTAL,sdSP,sdINV,sdREAL,sdGP,sdTOTAL,otherSP,otherINV,otherREAL,otherGP,otherTOTAL,cites,authors,year,source,publisher,articleURL,citesURL,gsRank,queryDate,type,doi,issn,citationURL,volume,issue,startPage,endPage,ecc,citesPerYear,citesPerAuthor,authorCount,age,isIPQUsed,topic,note,standard_total,standard_total_each_item,is_subscale_fully_reported,standard_sp,standard_inv,standard_real,standard_gp,standard_sp_each_item,standard_inv_each_item,standard_real_each_item,standard_gp_each_item,visual_display
66,67,167,Visually Induced Motion Sickness in 360° Videos: Comparing and Combining Visual Optimization Techniques,"VR sickness, cybersickness, 360º video, cinematic VR, field of view, content analysis, optical flow",12,6,6,23,47,29.9,6.76,3D Graphics - HMD VR,Unknown,"Design and visualization,Social Science and psychology",Motion Sickness,Not Mentioned,Not Sure,,,1,Study 1,3.42,12,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,"ANOVA,Pearson’s product-moment correlation",,,2,6,Condition,C2,No,12,,,,,,3.63,3.1,2.5,3.5,,1.24,0.73,0.66,1.51,,,,,,,0,P Bala; D Dionísio; V Nisi…,2018,2018 IEEE International …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8699261/,,332,43676,,,,,,,,,0,0,0,4,,DUPLICATED,,,1.55,0.110714286,TRUE,3.15,0.4,-2,0.5,0.63,0.1,-0.5,0.5,3D Graphics - HMD VR
122,130,311,Effects of simulated darkness on the affective appraisal of a virtual environment,,72,,,17,32,22.2,2.9,3D Graphics - Monoscopic,Stereo sound,"Design and visualization,Social Science and psychology",1,Not Mentioned,Not Sure,,,1,Study 1,10,72,,,,,,,between-subject,each component,/Mean/SD/,Other,After,No,MANOVA,,,2,6,Condition,D/N,No,12,,,,,,3.63,3.35,2.6,4.42,,1.22,1.36,1.07,1.38,,,,,,,0,A Toet; JM Houtkamp; PE Vreugdenhil,2015,PeerJ PrePrints,peerj.com,https://peerj.com/preprints/1456,,336,43676,,,,,,,,,0,0,0,3,,YES,Simulated darkness,Unknown Scale,2.95,0.210714286,TRUE,3.15,1.4,-1.6,1.42,0.63,0.35,-0.4,1.42,3D Graphics - Monoscopic
44,45,114,Effects of personal relevance and simulated darkness on the affective appraisal of a virtual environment,"Affective appraisal, Virtual environment, Fear of darkness, Emotion, Personal relevance",72,0,72,12,32,22.2,2.9,3D Graphics - Monoscopic,Unknown,"Healthcare and clinical therapies,Social Science and psychology",Fear of darkness,Not Mentioned,Not Sure,,,1,Study 1,10,72,,,,,,,between-subject,each component,/Mean/SD/,Other,After,No,ANOVA,,,4,-33,Simulated lightingxFictitious task,DaylightxDarkness,Yes,12,,,,,,0.63,0.35,-0.4,1.42,,1.22,1.36,1.07,1.38,,,,,,,3,A Toet; JM Houtkamp; PE Vreugdenhil,2016,PeerJ,peerj.com,https://peerj.com/articles/1743/?utm_source=TrendMD&utm_campaign=PeerJ_TrendMD_1&utm_medium=TrendMD,https://scholar.google.com/scholar?cites=2623486685510651979&as_sdt=2005&sciodt=0;5&hl=en,199,43628,HTML,,,,,,,,3,1,1,3,3,YES,Fear,Unknown Scale,2.95,0.210714286,TRUE,3.15,1.4,-1.6,1.42,0.63,0.35,-0.4,1.42,3D Graphics - Monoscopic
124,132,316,User virtual costume visualisation in an augmented virtuality immersive cinematic environment,"Augmented Virtuality, 360 movie, virtual costume",24,,12,133,52,32.4,8.6,3D Graphics - HMD VR,Unknown,"Design and visualization,Entertainment and game,Social Science and psychology",,Not Mentioned,Not Sure,,40,1,Study 1,,24,,,,,,,within-subject,each component,/Mean//,Other,After,No,Friedman tests,Wilcoxon Signed Rank tests with a Bonferroni correction,,2,6,Condition,B,No,24,,,,,,3.638,3.196,2.767,3.686,,,,,,,,,,,,0,W Tang; GA Lee; M Billinghurst…,2018,Proceedings of the 30th …,dl.acm.org,https://dl.acm.org/citation.cfm?id=3292188,,294,43676,,,,,,,,,0,0,0,4,,YES,Augmented Virtuality,,3.042,0.217285714,TRUE,3.19,0.784,-0.932,0.686,0.638,0.196,-0.233,0.686,3D Graphics - HMD VR
89,92,224,Cultivating imagination: development and pilot test of a therapeutic use of an immersive virtual reality CAVE,,9,,,,,,,Projection Display,Surround sound,Social Science and psychology,,Not Mentioned,Not Sure,,90,1,Study 1,15,9,,,,,,,within-subject,each component,/Mean/SD/,Chart,After,No,,,,2,6,Condition,Kitchen,No,9,,,,,,3.64,3.61,2.58,3.78,,0.43,0.31,0.73,0.83,,,,,,,2,PF Brennan; FD Nicolalde; K Ponto…,2013,AMIA Annual …,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3900149/,https://scholar.google.com/scholar?cites=4713791303245109034&as_sdt=2005&sciodt=0;5&hl=en,450,43627,HTML,,,,,,,,2,0.33,1,4,,YES,Imagination,Unknown Scale,3.96,0.282857143,TRUE,3.2,2.44,-1.68,0.78,0.64,0.61,-0.42,0.78,Projection Display
121,129,306,Influence of Network Delay in Virtual Reality Multiplayer Exergames: Who is actually delayed?,"Virtual Reality, Multiplayer Exergames, QoE, Network Delay",23,17,6,,,25.57,3.41,3D Graphics - HMD VR,Unknown,"Design and visualization,Entertainment and game,Social Science and psychology",,Not Mentioned,Not Sure,,,1,Study 1,,23,,,,,,,within-subject,each component,/Mean//Other,Other,After,No,ANOVA,,,2,17,Delay,LOW,No,23,,,,,,4.641,4.105,3.551,5.116,,,,,,,0.105,0.095,0.068,0.155,,0,T Kojic; S Schmidt; S Möller…,2019,… Conference on Quality …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8743342/,,260,43676,,,,,,,,,0,0,0,4,,YES,Exergame,Lack report for some condition,1.829,0.130642857,TRUE,3.205,0.42,-1.796,1.116,0.641,0.105,-0.449,1.116,3D Graphics - HMD VR
11,12,33,"Effects of stereoscopic viewing on presence, anxiety, and cybersickness in a virtual reality environment for public speaking","Specific phobia, Exposure therapy, Spiders, Virtual reality, Serious games, Gamification",88,53,35,18,70,28,6.3,"3D Graphics - HMD VR,Other",Stereo sound,Healthcare and clinical therapies,Exposure therapy,Not Mentioned,Not Sure,,,1,Study 1,17,86,,,,,,,within-subject,each component,/Mean/SD/,Chart,After,No,TTest,,,1,6,VE,3D,No,86,,,,,,3.65,3.58,2.7,3.7,,1.3,1.45,1.1,1.55,,,,,,,43,Y Ling; WP Brinkman; HT Nefs; C Qu�,2012,Presence: Teleoperators��,MIT Press,https://www.mitpressjournals.org/doi/abs/10.1162/PRES_a_00111,https://scholar.google.com/scholar?cites=12450000004622731836&as_sdt=2005&sciodt=0;5&hl=en,27,43628,,,,,,,,,43,6.14,9,5,7,YES,Exposure Therapy,,4.37,0.312142857,TRUE,3.25,2.32,-1.2,0.7,0.65,0.58,-0.3,0.7,3D Graphics - HMD VR
81,84,206,Towards lean and elegant self-motion simulation in virtual reality,"Vection, self-motion illusion, spatial orientation, virtual reality, motion simulation, human factors, psychophysics, multi-modal cue integration, vibrations, auditory cues",53,,,,,,,Projection Display,Surround sound,Social Science and psychology,,Not Mentioned,Not Sure,,,3,Study 3,,19,,,,,,,within-subject,each component,/Mean/SD/,Chart,Unknown,No,TTest,,,2,17,Audio,3D sound rendering,No,19,,,,,,4.65,3.96,3.99,4.26,4.24,1.3,1.57,1.26,1.7,1.19,,,,,,79,BE Riecke; J Schulte-Pelkum…,2005,… . VR 2005. Virtual …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/1492765/,https://scholar.google.com/scholar?cites=3287997044791535940&as_sdt=2005&sciodt=0;5&hl=en,48,43627,,,,,,,,,79,5.64,26,3,,YES,Vection,,3.36,0.24,TRUE,3.25,-0.16,-0.04,0.26,0.65,-0.04,-0.01,0.26,Projection Display
139,150,367,Influence of auditory cues on the visually-induced self-motion illusion (circular vection) in virtual reality,"Vection, self-motion perception, spatial orientation, virtual reality, motion simulation, human factors, psychophysics, multi-modal cue integration, auditory cues, HRTF",20,8,,,,,,Projection Display,Stereo sound,"Design and visualization,Social Science and psychology",,English,Not Sure,,,1,Study 1,,20,,,,,,,within-subject,each component,/Mean//,Chart,After,No,TTest,,,2,17,Sound,HRTF-spatialized,No,20,,,,,,4.65,4.06,3.94,4.25,4.25,,,,,,,,,,,40,BE Riecke; J Schulte-Pelkum; F Caniard�,2005,��Workshop Presence,cyberneum.de,http://www.cyberneum.de/fileadmin/user_upload/files/publications/Riecke__05_paper4Presence2005_Influence_of_Auditory_Cues_on_the_visually-induced_Self-Motion_Illusion_-Circular_Vection-_in_Virtual_Reality_3466[0].pdf,https://scholar.google.com/scholar?cites=16477170669748724079&as_sdt=2005&sciodt=0;5&hl=en,151,43628,PDF,,,,,,,,40,2.86,10,4,14,YES,Vection,,3.5,0.25,TRUE,3.25,0.24,-0.24,0.25,0.65,0.06,-0.06,0.25,Projection Display
15,16,39,Brain activity and prosocial behavior in a simulated life-threatening situation,"prosocial behavior, virtual reality, gICA, salience network, mPFC",43,13,30,21,30,22.8,,,,Social Science and psychology,Prosocial behavior,Not Mentioned,Not Sure,,,1,Study 1,282.7 (42)/284.1 (93.1)/NA,43,5/07/2001,11/12/2007,,,,,within-subject,each component,/Mean/SD/,Chart,After,No,MANOVA,,,1,-33,Group,NoH,No,19,,,,,,0.66,0.54,-0.77,0.11,,1.29,1.36,1.16,1.84,,,,,,,28,M Zanon; G Novembre; N Zangrando; L Chittaro�,2014,Neuroimage,Elsevier,https://www.sciencedirect.com/science/article/pii/S1053811914003334,https://scholar.google.com/scholar?cites=10501098305181097252&as_sdt=2005&sciodt=0;5&hl=en,73,43628,,,,,,,,,28,5.6,6,5,5,YES,Prosocial Behavior,,2.38,0.17,TRUE,3.3,2.16,-3.08,0.11,0.66,0.54,-0.77,0.11,3D Graphics - HMD VR
137,146,348,Moving sounds enhance the visually-induced self-motion illusion (circular vection) in virtual reality,"Audiovisual interactions, presence, psychophysics, self-motion simulation, spatial sound, vection, virtual reality",32,,,,,,,Projection Display,Stereo sound,"Design and visualization,Interaction techniques,Social Science and psychology",,Not Mentioned,Not Sure,,,2,Study 1,,20,,,,,28.7,8,within-subject,each component,/Mean//,Chart,After,No,ANOVA,T-test,,2,17,Audiotory,HRTF-spatialized sound,No,20,,,,,,4.67,4.05,3.98,4.26,4.27,,,,,,,,,,,98,BE Riecke; A V�ljam�e; J Schulte-Pelkum,2009,ACM Transactions on��,dl.acm.org,https://dl.acm.org/citation.cfm?id=1498701,https://scholar.google.com/scholar?cites=10567446197223633119&as_sdt=2005&sciodt=0;5&hl=en,245,43628,,,,,,,,,98,9.8,33,3,10,YES,Vection,,3.78,0.27,TRUE,3.35,0.2,-0.08,0.26,0.67,0.05,-0.02,0.26,Projection Display
134,142,337,"An fMRI investigation on empathy: physical and social pain, prosocial behavior and the role of the opioid system",,43,13,30,21,30,22.8,,Other,Stereo sound,,,Not Mentioned,Not Sure,,45,1,Study 1,,35,,,,,,,between-subject,each component,/Mean/SD/,Other,After,No,MANOVA,,,2,-33,Group,NoH,No,19,,,,,,0.68,0.54,-0.76,0.11,,1.3,1.3,1.2,1.9,,,,,,,0,G Novembre,2015,,iris.sissa.it,https://iris.sissa.it/handle/20.500.11767/3877,,531,43676,,,,,,,,,0,0,0,1,,YES,Empathy,,2.52,0.18,TRUE,3.4,2.16,-3.04,0.11,0.68,0.54,-0.76,0.11,3D Graphics - HMD VR
26,27,62,Poster: Design and evaluation of 3D content with wind output,,12,11,3,21,31,,,3D Graphics - Monoscopic,Unknown,Interaction techniques,,Not Mentioned,Not Sure,,,1,Study 1,15,12,,,,,,,within-subject,each component,/Mean/SD/,Chart,After,No,"ANOVA,TTest",,,2,17,Visual Output Type,Head Mounted Wind,No,12,,,,,,4.69,4.81,3.79,4.66,,,,,0.47,,,,,,,11,A Lehmann; C Geiger; B Woldecke�,2009,2009 IEEE Symposium��,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/4811231/,https://scholar.google.com/scholar?cites=18289119672183896209&as_sdt=2005&sciodt=0;5&hl=en,16,43628,,,,,,,,,11,1.1,3,4,10,YES,,CORRECTED: Overall Presence to GP (Confused Presence),5.85,0.417857143,TRUE,3.45,3.24,-0.84,0.66,0.69,0.81,-0.21,0.66,3D Graphics - Monoscopic
35,36,92,Utilization of Second Life as a tool for spatial learning in interior architecture,"Virtual environments, second life, navigation, spatial learning",90,45,45,,,,,3D Graphics - Monoscopic,Unknown,"Education and training,Social Science and psychology",,Not Mentioned,Not Sure,,,1,Study 1,,90,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,,,,2,17,Whole Experiment,Whole Study,No,90,,,,,,4.69,3.74,3.53,5.37,,0.85,1.1,0.76,1.13,,,,,,,6,? Memiko?lu,2014,Procedia-Social and Behavioral Sciences,Elsevier,https://www.sciencedirect.com/science/article/pii/S1877042814004017,https://scholar.google.com/scholar?cites=1343355019175368824&as_sdt=2005&sciodt=0;5&hl=en,157,43628,,,,,,,,,6,1.2,6,1,5,YES,Navigation,,0.53,0.037857143,TRUE,3.45,-1.04,-1.88,1.37,0.69,-0.26,-0.47,1.37,3D Graphics - Monoscopic
73,74,182,Comfortable Immersive Analytics with the VirtualDesk Metaphor: Case Studies and Perspectives,,44,,,,,,,3D Graphics - HMD VR,Unknown,"Design and visualization,Social Science and psychology",Immersive,Not Mentioned,Not Sure,,,1,Study 1,25,44,,,,,,,between-subject,each component,/Mean/SD/,Chart,Unknown,No,,,,2,17,Case Study,1,No,24,,,,,,4.7,4.08,3.11,5.39,,0.85,1.04,0.79,1.15,,,,,,,0,JA Wagner Filho; CMDS Freitas�,2019,IEEE computer graphics��,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8640072/,,308,43628,,,,,,,,,0,0,0,3,1,YES,Immersion,,0.26,0.018571429,TRUE,3.5,0.32,-3.56,1.39,0.7,0.08,-0.89,1.39,3D Graphics - HMD VR
123,131,313,Warning messages to modify safety behavior during crisis situations: A virtual reality study,"Safety behaviour, Warning messages, Virtual reality, Thunderstorm",34,,,,,26.61,9.39,3D Graphics - HMD VR,Unknown,Social Science and psychology,,Not Mentioned,Not Sure,,,1,Study 1,around 10,34,,9-Oct,,,29.86/23.94,12.31/5.04,between-subject,each component,/Mean/SD/,Other,After,No,TTest,,,2,6,Group,Control,No,17,,,,,,3.71,3.46,2.38,4,,0.91,1.19,1.47,1.47,,,,,,,0,H Markwart; J Vitera; S Lemanski; D Kietzmann…,2019,International Journal of …,Elsevier,https://www.sciencedirect.com/science/article/pii/S2212420919302432,,288,43676,,,,,,,,,0,0,0,5,,YES,Behavior,,2.91,0.207857143,TRUE,3.55,1.84,-2.48,1,0.71,0.46,-0.62,1,3D Graphics - HMD VR
48,49,124,"Challenging gender differences in physical presence: Affective states, spatial abilities and presence in a relaxing virtual park","Physical Presence, Virtual Environment, Gender Difference, Spatial Ability",28,14,14,,,26.29/23.93,3.791/2.895,3D Graphics - HMD VR,Unknown,Social Science and psychology,Physical Presence,Not Mentioned,Not Sure,,,1,Study 1,5,28,14,14,,,,,between-subject,each component,/Mean//Other,Chart,Unknown,No,TTest,,,2,6,Gender,Female,No,14,18.64,17.78,11.62,3.28,,,,,,,,,,,,1.48,0.94,0.94,0.94,,2,A Felnhofer; T Hetterle; M Schmidt�,2014,��Presence��,researchgate.net,https://www.researchgate.net/profile/Anna_Felnhofer/publication/259632793_Challenging_gender_differences_in_physical_presence_Affective_states_spatial_abilities_and_presence_in_a_relaxing_virtual_park/links/00b4952cfaf0f131a3000000/Challenging-gender-differences-in-physical-presence-Affective-states-spatial-abilities-and-presence-in-a-relaxing-virtual-park.pdf,https://scholar.google.com/scholar?cites=12437203463310300111&as_sdt=2005&sciodt=0;5&hl=en,23,43628,PDF,,,,,,,,2,0.4,1,4,5,YES,Physical Presence,Unknown Scale,9.32,0.665714286,TRUE,3.64,5.78,-0.38,0.28,0.728,1.445,-0.095,0.28,3D Graphics - HMD VR
64,65,162,"Physical Presence, Social Presence, and Anxiety in Participants with Social Anxiety Disorder During Virtual Cue Exposure","virtual reality exposure therapy, social anxiety disorder, physical presence, social presence, state anxiety, heart rate",24,,17,,,,,3D Graphics - HMD VR,Unknown,"Healthcare and clinical therapies,Social Science and psychology",,German,Not Sure,,15,1,Study 1,5,24,,9-Aug,,,22.83/24.08,1.749/2.539,between-subject,each component,/Mean/SD/,Other,After,No,TTest,,,2,17,Group,SAD,No,12,23.7,16.9,12.7,5.1,,,,,,,7.808,3.029,2.64,1.379,,,,,,,0,A Felnhofer; H Hlavacs; L Beutl�,2019,��; Behavior; and Social��,liebertpub.com,https://www.liebertpub.com/doi/abs/10.1089/cyber.2018.0221,,113,43628,,,,,,,,,0,0,0,4,1,YES,Exposure Therapy,,2.4,0.171428571,TRUE,3.7,0.9,-3.3,1.1,0.74,0.225,-0.825,1.1,3D Graphics - HMD VR
133,141,332,Enhancing User Experience with Olfaction in Virtual Reality,,10,5,5,,,28.3,1.34,3D Graphics - HMD VR,Unknown,"Design and visualization,Entertainment and game,Social Science and psychology",,Not Mentioned,Not Sure,,,1,Study 1,,10,,,,,,,within-subject,each item,/Mean//,Other,After,No,Mann-Whitney U-Test; Wilcoxon Signed-Rank Test,,,4,17,OdourxGroup,No-odourxNO-O,Yes,10,,,,,,,,,,,,,,,,,,,,,0,MH Braun,2019,,openaccess.city.ac.uk,http://openaccess.city.ac.uk/id/eprint/22379,,561,43676,,,,,,,,,0,0,0,1,,YES,Olfaction,,-0.9,-0.064285714,TRUE,3.7,-1.5,-4.1,1,0.74,-0.375,-1.025,1,3D Graphics - HMD VR
114,122,289,Perceptual calibration in virtual reality applications,,19,,,,,,,"3D Graphics - Monoscopic,Projection Display",Unknown,"Design and visualization,Social Science and psychology",,Not Mentioned,Not Sure,,60,1,Study 1,,19,,,,,25/25,2-Jun,between-subject,each component,/Mean/SD/,Chart,After,No,ANOVA,,,2,-33,Condition,CAVE,No,8,,,,,,0.7408,-0.0312,-0.2776,0.6168,,,,,,,,,,,,4,DR Mestre,2016,Electronic Imaging,ingentaconnect.com,https://www.ingentaconnect.com/contentone/ist/ei/2016/00002016/00000004/art00003,https://scholar.google.com/scholar?cites=16689666532010075657&as_sdt=2005&sciodt=0;5&hl=en,147,43676,,,,,,,,,4,1.33,4,1,,YES,Perceptual Calibration,,2.4688,0.176342857,TRUE,3.704,-0.1248,-1.1104,0.6168,0.7408,-0.0312,-0.2776,0.6168,Projection Display
12,13,34,Presence within a mixed reality environment,,21,17,4,16,50,,,Projection Display,Unknown,Social Science and psychology,Presence; Mixed reality,Not Mentioned,Not Sure,,,1,Study 1,,21,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,Pearson correlations; Spearman correlations,Bonferroni,,1,-33,Environment,MR,No,21,,,,,,0.75,0.1,-0.96,0.95,,1.39,1.18,1.12,1.75,,,,,,,42,PV Schaik; T Turnbull; AV Wersch�,2004,CyberPsychology &��,liebertpub.com,https://www.liebertpub.com/doi/abs/10.1089/cpb.2004.7.540,https://scholar.google.com/scholar?cites=4422636204725188312&as_sdt=2005&sciodt=0;5&hl=en,67,43628,,,,,,,,,42,2.8,11,4,15,YES,Presence,,0.31,0.022142857,TRUE,3.75,0.4,-3.84,0.95,0.75,0.1,-0.96,0.95,Projection Display
125,133,319,A Metro World Prototype for Virtual Reality Exposure Therapy of Agoraphobia,,20,,,,,,,3D Graphics - HMD VR,Stereo sound,"Healthcare and clinical therapies,Social Science and psychology",,Not Mentioned,Not Sure,,,1,Study 1,7,20,,,,,,,within-subject,each component,/Mean/SD/,Other,After,No,Reliability analysis,,,2,6,Session,2,No,20,,,,,,3.75,2.8375,2.7125,3.95,,0.664514,0.722181,0.629719,0.759155,,,,,,,0,FN Rahayu; MA Neerincx; C van der Mast…,2003,Delft University of …,mmi.tudelft.nl,http://mmi.tudelft.nl/vret/images/0/07/A_Metro_World_Prototype_for_Virtual_Reality_Exposure_Therapy_of_Agoraphobia.pdf,,330,43676,PDF,,,,,,,,0,0,0,4,,YES,Agoraphobia,,1.95,0.139285714,TRUE,3.75,-0.65,-1.15,0.95,0.75,-0.1625,-0.2875,0.95,3D Graphics - HMD VR
122,130,308,Effects of simulated darkness on the affective appraisal of a virtual environment,,72,,,17,32,22.2,2.9,3D Graphics - Monoscopic,Stereo sound,"Design and visualization,Social Science and psychology",1,Not Mentioned,Not Sure,,,1,Study 1,10,72,,,,,,,between-subject,each component,/Mean/SD/,Other,After,No,MANOVA,,,2,6,Condition,N,No,12,,,,,,3.78,3.58,3.02,4.17,,0.97,0.96,0.7,1.19,,,,,,,0,A Toet; JM Houtkamp; PE Vreugdenhil,2015,PeerJ PrePrints,peerj.com,https://peerj.com/preprints/1456,,336,43676,,,,,,,,,0,0,0,3,,YES,Simulated darkness,Unknown Scale,6.3,0.45,TRUE,3.9,2.32,0.08,1.17,0.78,0.58,0.02,1.17,3D Graphics - Monoscopic
44,45,115,Effects of personal relevance and simulated darkness on the affective appraisal of a virtual environment,"Affective appraisal, Virtual environment, Fear of darkness, Emotion, Personal relevance",72,0,72,12,32,22.2,2.9,3D Graphics - Monoscopic,Unknown,"Healthcare and clinical therapies,Social Science and psychology",Fear of darkness,Not Mentioned,Not Sure,,,1,Study 1,10,72,,,,,,,between-subject,each component,/Mean/SD/,Other,After,No,ANOVA,,,4,-33,Simulated lightingxFictitious task,DarknessxNo task,Yes,12,,,,,,0.78,0.58,0.02,1.17,,0.97,0.96,0.7,1.19,,,,,,,3,A Toet; JM Houtkamp; PE Vreugdenhil,2016,PeerJ,peerj.com,https://peerj.com/articles/1743/?utm_source=TrendMD&utm_campaign=PeerJ_TrendMD_1&utm_medium=TrendMD,https://scholar.google.com/scholar?cites=2623486685510651979&as_sdt=2005&sciodt=0;5&hl=en,199,43628,HTML,,,,,,,,3,1,1,3,3,YES,Fear,Unknown Scale,6.3,0.45,TRUE,3.9,2.32,0.08,1.17,0.78,0.58,0.02,1.17,3D Graphics - Monoscopic
41,42,103,GulliVR: A walking-oriented technique for navigation in virtual reality games based on virtual body resizing,"Virtual reality games, navigation, physical walking, presence, virtual body size, miniature world",30,15,15,,,27.6,11.18,3D Graphics - HMD VR,Unknown,Interaction techniques,Navigation,Not Mentioned,Not Sure,,45,1,Study 1,,30,,,,,,,between-subject,each component,/Mean/SD/,Other,After,No,"TTest, Levene’s and Kolmogorov-Smirnov tests;  MannWhitney U tests",,,2,6,Navigation,GulliVR,No,15,,,,,,3.84,3.42,2.5,4.4,,0.73,0.82,0.75,1.12,,,,,,,3,A Krekhov; S Cmentowski; K Emmerich�,2018,Proceedings of the��,dl.acm.org,https://dl.acm.org/citation.cfm?id=3242704,https://scholar.google.com/scholar?cites=7527593946888583397&as_sdt=2005&sciodt=0;5&hl=en,259,43628,,,,,,,,,3,3,1,4,1,YES,Navigation,,3.88,0.277142857,TRUE,4.2,1.68,-2,1.4,0.84,0.42,-0.5,1.4,3D Graphics - HMD VR
124,132,317,User virtual costume visualisation in an augmented virtuality immersive cinematic environment,"Augmented Virtuality, 360 movie, virtual costume",24,,12,133,52,32.4,8.6,3D Graphics - HMD VR,Unknown,"Design and visualization,Entertainment and game,Social Science and psychology",,Not Mentioned,Not Sure,,40,1,Study 1,,24,,,,,,,within-subject,each component,/Mean//,Other,After,No,Friedman tests,Wilcoxon Signed Rank tests with a Bonferroni correction,,2,6,Condition,C,No,24,,,,,,3.842,3.196,2.906,3.83,,,,,,,,,,,,0,W Tang; GA Lee; M Billinghurst…,2018,Proceedings of the 30th …,dl.acm.org,https://dl.acm.org/citation.cfm?id=3292188,,294,43676,,,,,,,,,0,0,0,4,,YES,Augmented Virtuality,,4.618,0.329857143,TRUE,4.21,0.784,-0.376,0.83,0.842,0.196,-0.094,0.83,3D Graphics - HMD VR
17,18,43,Enhancing the visually induced self-motion illusion (vection) under natural viewing conditions in virtual reality,"Vection, psychophysics, spatial presence, virtual reality, illusions, motion simulation.",22,,,,,,,Projection Display,Stereo sound,Social Science and psychology,Vection,Not Mentioned,Not Sure,,,1,Study 1,,22,,,,,,,between-subject,each component,/Mean/SD/,Chart,After,No,Correlaration tests,,,1,17,Screen homogeneity,Marked screen,No,10,,,,,,4.89,5.67,4.99,5.65,5.25,1.16,0.84,0.54,0.83,0.74,,,,,,25,BE Riecke; J Schulte-Pelkum�,2004,��Workshop Presence,academia.edu,http://www.academia.edu/download/2384840/982drjfkn4woz84.pdf,https://scholar.google.com/scholar?cites=9264505614785578962&as_sdt=2005&sciodt=0;5&hl=en,70,43628,PDF,,,,,,,,25,1.67,8,3,15,YES,Vection,,17.5,1.25,TRUE,4.45,6.68,3.96,1.65,0.89,1.67,0.99,1.65,Projection Display
